player,team,league,age,gls_per90,ast_per90,sh_per90,sot_pct,goals_per_shot,goals_per_sot,sot_per90
Apostolos Stamatelopoulos,Sydney FC,AUS-A-League,26,0.24,0.0,2.3,47.4,0.11,0.22,1.09
Piero Quispe,Sydney FC,AUS-A-League,23,0.04,0.22,0.96,31.8,0.05,0.14,0.31
Víctor Campuzano,Sydney FC,AUS-A-League,28,0.21,0.16,2.95,41.8,0.07,0.17,1.23
Carlo Armiento,Wellington Phoenix,AUS-A-League,26,0.29,0.11,2.64,47.8,0.11,0.23,1.26
Corban Piper,Wellington Phoenix,AUS-A-League,22,0.23,0.23,2.03,50.0,0.11,0.22,1.02
Ifeanyi Eze,Wellington Phoenix,AUS-A-League,26,0.43,0.04,2.47,43.1,0.17,0.4,1.06
Ramy Najjarine,Wellington Phoenix,AUS-A-League,25,0.1,0.16,1.92,29.7,0.03,0.09,0.57
Alou Kuol,Western Sydney Wanderers,AUS-A-League,24,0.13,0.0,2.29,27.8,0.06,0.2,0.64
Bozhidar Kraev,Western Sydney Wanderers,AUS-A-League,28,0.23,0.09,2.46,37.0,0.09,0.25,0.91
Brandon Borrello,Western Sydney Wanderers,AUS-A-League,30,0.23,0.12,3.55,27.9,0.05,0.18,0.99
Kosta Barbarouses,Western Sydney Wanderers,AUS-A-League,35,0.27,0.07,2.3,35.3,0.06,0.17,0.81
Ryan Fraser,Western Sydney Wanderers,AUS-A-League,31,0.42,0.31,3.01,34.5,0.14,0.4,1.04
Adriano Bertaccini,Anderlecht,BEL-Pro League,24,0.35,0.06,3.55,41.0,0.1,0.24,1.46
Luis Vázquez,Anderlecht,BEL-Pro League,24,0.26,0.0,2.87,45.5,0.09,0.2,1.3
Mihajlo Cvetković,Anderlecht,BEL-Pro League,18,0.5,0.11,2.33,52.4,0.21,0.41,1.22
Thorgan Hazard,Anderlecht,BEL-Pro League,32,0.43,0.23,2.45,41.9,0.11,0.26,1.03
Farouck Adekami,Antwerp,BEL-Pro League,18,0.16,0.16,2.77,45.7,0.06,0.13,1.27
Gyrano Kerk,Antwerp,BEL-Pro League,29,0.13,0.17,2.16,32.0,0.06,0.19,0.69
